Produto,Quantidade (L.)
VINHO DE MESA,195.031.611
Tinto,162.844.214
Branco,30.198.430
Rosado,1.988.968
VINHO FINO DE MESA (VINÍFERA),47.511.796
Tinto,24.417.918
Branco,20.896.613
Rosado,2.197.265
SUCO,65.809.079
Suco de uva integral,35.248.305
Suco de uva concentrado,29.892.550
Suco de uva adoçado,79.130
Suco de uva orgânico,589.094
DERIVADOS,138.501.226
Espumante,70.759
Espumante moscatel,27.200
Base espumante moscatel,6.308.043
Base Champenoise champanha,1.146.717
Base Charmat champanha,4.078.766
Polpa de uva,387.886
Mosto simples,126.048.241
Jeropiga,5.000
Vinho licoroso,67.000
Bagaceira,4.998
Vinagre,16.200
Vinho orgânico,88.890
Destilado alcoólico simples de bagaceira,4.300
Outros derivados,247.228
Total,446.853.712